modality,pair,subject,method,hf_ratio
T2W,7T_to_0.1T,0007,Vectorise,0.5727394792823531
T2W,7T_to_0.1T,0007,UNet,0.4980904159862505
T2W,7T_to_0.1T,0007,INR,0.7173270334866461
T2W,7T_to_0.1T,0009,identite,4.8450848516763045
T2W,7T_to_0.1T,0009,Vectorise,1.503290406035267
T2W,7T_to_0.1T,0009,UNet,1.529657651908923
T2W,7T_to_0.1T,0009,INR,0.9692469288612164
T2W,7T_to_1.5T,0006,identite,1.4202983980463446
T2W,7T_to_1.5T,0006,Vectorise,0.5323329324305583
T2W,7T_to_1.5T,0006,UNet,0.5705074629475143
T2W,7T_to_1.5T,0006,INR,0.6644612008090739
T2W,7T_to_1.5T,0007,identite,1.4604883021928545
T2W,7T_to_1.5T,0007,Vectorise,0.5260405651562093
T2W,7T_to_1.5T,0007,UNet,0.44489102252488133
T2W,7T_to_1.5T,0007,INR,0.8745436430229536
T2W,7T_to_1.5T,0009,identite,1.2756399759275698
T2W,7T_to_1.5T,0009,Vectorise,0.40259452101723836
T2W,7T_to_1.5T,0009,UNet,0.3951180640339937
T2W,7T_to_1.5T,0009,INR,0.35734939671337806
T2W,7T_to_3T,0006,identite,0.6404448843082464
T2W,7T_to_3T,0006,Vectorise,0.2559890836125607
T2W,7T_to_3T,0006,UNet,0.26745372132222545
T2W,7T_to_3T,0006,INR,0.2505146303076972
T2W,7T_to_3T,0007,identite,0.7332206923012338
T2W,7T_to_3T,0007,Vectorise,0.2630139687411657
T2W,7T_to_3T,0007,UNet,0.22347040505601337
T2W,7T_to_3T,0007,INR,0.4542110596550228
T2W,7T_to_3T,0009,identite,0.7608215466396173
T2W,7T_to_3T,0009,Vectorise,0.25832646720504093
T2W,7T_to_3T,0009,UNet,0.2450658462445231
T2W,7T_to_3T,0009,INR,0.17106623138144
T2W,7T_to_5T,0006,identite,0.7979077613352954
T2W,7T_to_5T,0006,Vectorise,0.33428616956374674
T2W,7T_to_5T,0006,UNet,0.33891554945365415
T2W,7T_to_5T,0006,INR,0.11216793260736159
T2W,7T_to_5T,0007,identite,0.7033258528410642
