modality,pair,subject,method,hf_ratio
T2W,0.1T_to_1.5T,0009,INR,0.5551036640114696
T2W,0.1T_to_3T,0006,identite,0.0706636779422015
T2W,0.1T_to_3T,0006,Vectorise,0.02468956618372137
T2W,0.1T_to_3T,0006,UNet,0.02136335737610092
T2W,0.1T_to_3T,0006,INR,0.24636479336002942
T2W,0.1T_to_3T,0007,identite,0.14112676820545655
T2W,0.1T_to_3T,0007,Vectorise,0.03138990687343475
T2W,0.1T_to_3T,0007,UNet,0.027854930156695958
T2W,0.1T_to_3T,0007,INR,0.3445892231183864
T2W,0.1T_to_3T,0009,identite,0.06611734192381057
T2W,0.1T_to_3T,0009,Vectorise,0.01774753789985076
T2W,0.1T_to_3T,0009,UNet,0.013940269921690797
T2W,0.1T_to_3T,0009,INR,0.36279577893670445
T2W,0.1T_to_5T,0006,identite,0.07651751760360385
T2W,0.1T_to_5T,0006,Vectorise,0.029361360758214453
T2W,0.1T_to_5T,0006,UNet,0.0235337640608924
T2W,0.1T_to_5T,0006,INR,0.3050527535811041
T2W,0.1T_to_5T,0007,identite,0.11415998747717758
T2W,0.1T_to_5T,0007,Vectorise,0.026267119282337405
T2W,0.1T_to_5T,0007,UNet,0.022328209463033797
T2W,0.1T_to_5T,0007,INR,0.3279657728283329
T2W,0.1T_to_5T,0009,identite,0.05118410870185556
T2W,0.1T_to_5T,0009,Vectorise,0.01511266726912705
T2W,0.1T_to_5T,0009,UNet,0.01096865878020141
T2W,0.1T_to_5T,0009,INR,0.2724624365007173
T2W,0.1T_to_7T,0006,identite,0.09686785892015586
T2W,0.1T_to_7T,0006,Vectorise,0.040375380983729406
T2W,0.1T_to_7T,0006,UNet,0.030146282386258803
T2W,0.1T_to_7T,0006,INR,0.5135051507606406
T2W,0.1T_to_7T,0007,identite,0.1896816456944299
T2W,0.1T_to_7T,0007,Vectorise,0.04576643640924825
T2W,0.1T_to_7T,0007,UNet,0.03827162943102779
T2W,0.1T_to_7T,0007,INR,0.7571805799282141
T2W,0.1T_to_7T,0009,identite,0.0862525111903397
T2W,0.1T_to_7T,0009,Vectorise,0.0254233081111752
T2W,0.1T_to_7T,0009,UNet,0.01837198743694502
T2W,0.1T_to_7T,0009,INR,0.6081369757446558
T2W,1.5T_to_0.1T,0006,identite,8.828215991639624
T2W,1.5T_to_0.1T,0006,Vectorise,3.570084494768157
T2W,1.5T_to_0.1T,0006,UNet,3.5961494150545845
T2W,1.5T_to_0.1T,0006,INR,0.9546210372281163
T2W,1.5T_to_0.1T,0007,identite,4.419497273682996
T2W,1.5T_to_0.1T,0007,Vectorise,1.7850336943317482
T2W,1.5T_to_0.1T,0007,UNet,1.7948715505847652
T2W,1.5T_to_0.1T,0007,INR,2.8261878537768528
T2W,1.5T_to_0.1T,0009,identite,9.250598393448378
T2W,1.5T_to_0.1T,0009,Vectorise,3.5519816070472277
T2W,1.5T_to_0.1T,0009,UNet,3.7505239712348626
T2W,1.5T_to_0.1T,0009,INR,1.2299428058943684
T2W,1.5T_to_3T,0006,identite,0.6207170905619769
T2W,1.5T_to_3T,0006,Vectorise,0.258193438474419
T2W,1.5T_to_3T,0006,UNet,0.2614064535153541
T2W,1.5T_to_3T,0006,INR,0.06724120611636862
T2W,1.5T_to_3T,0007,identite,0.6194473995204628
T2W,1.5T_to_3T,0007,Vectorise,0.25339949508827714
